Tissue,AAA(K),AAC(N),AAG(K),AAT(N),ACA(T),ACC(T),ACG(T),ACT(T),AGA(R),AGC(S),AGG(R),AGT(S),ATA(I),ATC(I),ATT(I),CAA(Q),CAC(H),CAG(Q),CAT(H),CCA(P),CCC(P),CCG(P),CCT(P),CGA(R),CGC(R),CGG(R),CGT(R),CTA(L),CTC(L),CTG(L),CTT(L),GAA(E),GAC(D),GAG(E),GAT(D),GCA(A),GCC(A),GCG(A),GCT(A),GGA(G),GGC(G),GGG(G),GGT(G),GTA(V),GTC(V),GTG(V),GTT(V),TAA(Stop),TAC(Y),TAG(Stop),TAT(Y),TCA(S),TCC(S),TCG(S),TCT(S),TGA(Stop),TGC(C),TGT(C),TTA(L),TTC(F),TTG(L),TTT(F)
Kidney,0.376085274544049,0.6091597976593661,0.623914725455951,0.39084020234063394,0.28675107171969877,0.40761390317965457,0.11375315354213918,0.19188187155850733,0.20977121877277727,0.2567988938311961,0.21869757906195877,0.1103024237685531,0.14481412413333225,0.5901725081744847,0.2650133676921828,0.23851781230224697,0.6476402554062203,0.7614821876977528,0.35235974459377967,0.27594642787231183,0.37988710690788885,0.10625839652307431,0.2379080686967248,0.11434732097069954,0.18859151474872804,0.20682216063235995,0.06177020581347632,0.06569612062411799,0.23459662165287862,0.4342812319116412,0.11181959889752004,0.36299788577055125,0.6041986126363885,0.6370021142294487,0.3958013873636112,0.21609720920528172,0.44387905059624017,0.0795979115082683,0.26042582869020975,0.23458579441479663,0.36348863106995744,0.2916084642663162,0.11031711024892969,0.1091825779357052,0.2898839900880934,0.47484030463452126,0.12609312734168,0.24074074074074073,0.6406265470062975,0.28703703703703703,0.3593734529937025,0.12868235441770556,0.2573977406525162,0.0732235661060647,0.17359502122396442,0.4722222222222222,0.6272162532266916,0.37278374677330844,0.04632258836579592,0.6241524380973117,0.10728383854804606,0.3758475619026882
Liver,0.39514280615944963,0.5357316823693283,0.6048571938405503,0.4642683176306718,0.28295866156807326,0.3852754820581251,0.1007075253959565,0.23105833097784506,0.26732148664139227,0.2455994943841655,0.23923262418663635,0.1423990130463992,0.16985508404164876,0.5032024551330114,0.3269424608253401,0.32874305524687736,0.5634107487968693,0.6712569447531231,0.4365892512031308,0.2892438803617432,0.31522006154021137,0.07852492577037645,0.3170111323276689,0.11089128343585554,0.15435761527084368,0.1573433000408404,0.0708536904244319,0.0758491989790025,0.20245812859118864,0.39094011653508315,0.12795571835938688,0.43572844186025483,0.5323344490862042,0.5642715581397455,0.4676655509137958,0.25897463046496944,0.3799299838202782,0.0719753172036212,0.2891200685111308,0.3072840121734771,0.310431216387141,0.23994933719962203,0.14233543423976006,0.11490873625552214,0.24913333792447928,0.44547647164216253,0.19048145417783596,0.2547307132459971,0.5821820777299653,0.23726346433770015,0.41781792227003445,0.1521650637292537,0.22969354731207264,0.05380056937831693,0.17634231214979196,0.5080058224163028,0.531963330580366,0.4680366694196338,0.07131950386614011,0.5433659346255789,0.13147733366919861,0.45663406537442114
Lung,0.2778644050089549,0.6349741550791336,0.722135594991045,0.36502584492086654,0.28751257268574226,0.383419506969998,0.10354232811111953,0.22552559223314025,0.1933194962144726,0.3329735462007284,0.24808016748064848,0.11571389572099729,0.10592575343654458,0.5807295516972723,0.31334469486618316,0.259762116508957,0.6837106475832652,0.740237883491043,0.31628935241673467,0.20867248215217998,0.36596019815922093,0.12068520574730861,0.3046821139412906,0.09126175992030931,0.19414546472970776,0.19511194832512865,0.07808116332973326,0.05479604314623184,0.25640369084876335,0.4611543369450941,0.1127141262725465,0.28427641924851943,0.5451349189307766,0.7157235807514807,0.45486508106922335,0.25008878822351926,0.4270123826888778,0.08772788442653415,0.23517094466106864,0.2659841234762144,0.3330203279249302,0.29059074513605615,0.1104048034627991,0.11784331886613357,0.31911457472122634,0.4442666488293087,0.11877545758333144,0.16279069767441862,0.6406976706899535,0.2558139534883721,0.3593023293100465,0.11106708324452276,0.22980245809735722,0.04216226553351732,0.1682807512028772,0.5813953488372093,0.5974633046336564,0.4025366953663436,0.025067765305097203,0.7200252414937195,0.08986403748226679,0.2799747585062804
Lymph Node,0.0,1.0,1.0,0.0,0.0,0.8181818181818182,0.0,0.18181818181818185,0.16666666666666666,0.4375,0.1111111111111111,0.0,0.0,1.0,0.0,0.09090909090909093,1.0,0.9090909090909092,0.0,0.10526315789473684,0.8947368421052632,0.0,0.0,0.1111111111111111,0.5555555555555556,0.0,0.05555555555555555,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.3,0.6,0.0,0.0,0.5,0.0,0.5,0.0,0.375,0.0,0.1875,1.0,0.7971014492753623,0.2028985507246377,0.0,0.5,0.3333333333333333,0.5
Ovary,0.29364631831475335,0.7116383781644328,0.7063536816852467,0.28836162183556724,0.17083986503891938,0.4845950580640928,0.13089235947614453,0.21367271742084332,0.19567760670701845,0.2709871744661785,0.17967498188086423,0.0842989159707821,0.1197094354989092,0.5981105981105981,0.28217996639049264,0.20129359213807374,0.7956793206793209,0.7987064078619264,0.20432067932067932,0.2468457446446034,0.42494969029578755,0.12435915871315273,0.20384540634645631,0.0706219842249254,0.24907061892356006,0.25032887863770215,0.05462592962592961,0.057634238440405675,0.23763683086220594,0.5111144912614122,0.066587353303126,0.25204842933740645,0.6393620992920188,0.7479515706625934,0.3606379007079813,0.18645923365767525,0.4819791952444946,0.13270433746873098,0.19885723362909907,0.2562926908035604,0.4206190166516253,0.23537012705490962,0.08771816548990463,0.07184624632029962,0.3658837188991467,0.44195834553478314,0.12031168924577058,0.3076923076923077,0.4919955887567224,0.3076923076923077,0.5080044112432776,0.10732003628317824,0.25793526932352157,0.09248585662821347,0.18697274732812613,0.38461538461538464,0.7073733098303809,0.2926266901696191,0.03135389200962972,0.7397818367258095,0.09567319412322049,0.2602181632741904
Pancreas,0.29634257229260746,0.6272262769671416,0.7036574277073925,0.37277372303285855,0.2009212221817073,0.46835763949965586,0.1235410378938917,0.20718010042474524,0.15728479589480449,0.23659894630715503,0.22710306681296694,0.11673736869113012,0.11148400663789573,0.5771478111597246,0.31136818220237983,0.2334956969620491,0.6523645288951412,0.7665043030379509,0.3476354711048589,0.24387578633474383,0.3786457511514227,0.08809000772938129,0.28938845478445224,0.09135110737064421,0.2581938185401668,0.19128213132366403,0.07478508005775363,0.044960284196317514,0.23915856322723772,0.4740359477674202,0.11885956708240948,0.3100324857161506,0.6841912291745332,0.6899675142838495,0.3158087708254666,0.1983693375009692,0.4453944417578131,0.08906842918840403,0.2671677915528136,0.2283646496118409,0.3788266824948119,0.2521914074883114,0.14061726040503586,0.06558376785822169,0.27008960856023134,0.51901166569582,0.1453149578857271,0.32653061224489793,0.6847286030161814,0.2857142857142857,0.31527139698381884,0.0932928376782104,0.3208372523168123,0.05680969668962127,0.17572389831707083,0.3877551020408163,0.6132871981683921,0.38671280183160806,0.03394953429306093,0.6308394737450443,0.08903610343355416,0.36916052625495566
Placenta,0.3557050430185713,0.5659767314097016,0.6442949569814285,0.43402326859029794,0.2468540963416009,0.4163633764167412,0.11864578267311607,0.21813674456854149,0.2076983062936865,0.2451373988111859,0.25374029962484224,0.12792477829243104,0.14331482651517366,0.5730062713129958,0.28367890217183056,0.2931568760540484,0.6458707555231135,0.7068431239459513,0.35412924447688604,0.2581418503890955,0.3764453373498308,0.11462546313979756,0.250787349121276,0.09786499531303212,0.19633482776933311,0.15356055667219629,0.09080101432690985,0.0781479712197171,0.24821331500718857,0.40676542791157594,0.10745031121934359,0.39606011966949667,0.5960145162642803,0.6039398803305036,0.40398548373571946,0.2667329542867758,0.39193909765798673,0.08437843524336228,0.25694951281187545,0.24563755871391865,0.3235636363720727,0.2633413629319516,0.16745744198205703,0.11564885182935715,0.29951933100889944,0.43973970056078965,0.14509211660095342,0.189873417721519,0.5817054324505387,0.27848101265822783,0.41829456754946115,0.1490974016632687,0.24923501729683514,0.0571727238082984,0.17143268012798069,0.5316455696202531,0.5599327786689879,0.4400672213310122,0.06354087659968076,0.633277626396067,0.0958820980424939,0.3667223736039331
Prostate gland,0.3182956193099231,0.5499937221080395,0.6817043806900771,0.45000627789196046,0.22928008175580408,0.4208217080479608,0.11256792665875584,0.23733028353747918,0.21089570586071416,0.2665844344889437,0.24556720517536362,0.11585440587560568,0.15770014669244148,0.5712366371577338,0.27106321614982487,0.2855501102543481,0.6350670755877468,0.714449889745652,0.3649329244122532,0.2816391896537167,0.29336222294542647,0.12725546912883479,0.297743118272022,0.08238481080219347,0.18743436926770596,0.22239869463669865,0.05131921425732397,0.07083439587572521,0.23175209256092674,0.4089580599200305,0.1199821431867089,0.33566279352125267,0.6388140955903715,0.6643372064787472,0.3611859044096286,0.2327367814197759,0.4057902512029569,0.08963764628153592,0.2718353210957312,0.23402086145670944,0.3769646694184578,0.21726701215254304,0.17174745697228952,0.08580704834387066,0.2375451127954136,0.5021734545806572,0.17447438428005832,0.3584905660377358,0.607274914483375,0.1320754716981132,0.39272508551662527,0.13962795394694338,0.24690603623622406,0.056704142122263,0.1743230273300202,0.5094339622641509,0.6044980385131934,0.39550196148680666,0.05888734930992959,0.6476083637153935,0.10958595914667887,0.3523916362846064
Rectum,0.2845238095238095,0.5776515151515151,0.7154761904761905,0.4223484848484848,0.1911374431195403,0.44695225916453535,0.0992404867085174,0.26266981100740694,0.3129713423831071,0.20224889403044224,0.25845274007038715,0.06433208007969407,0.13375852444591102,0.59702159984601,0.269219875708079,0.34978389665889664,0.4975694444444444,0.6502161033411034,0.5024305555555556,0.3050347222222222,0.3464488636363636,0.040625,0.3078914141414142,0.04006410256410256,0.1451734539969834,0.16507981397687282,0.07825854700854701,0.06432937360069613,0.2116559051966566,0.35676788599641196,0.11478335024483335,0.27860362676539147,0.5580357142857143,0.7213963732346086,0.4419642857142857,0.20897525676937442,0.45389822595704943,0.09027777777777779,0.24684873949579828,0.3076007326007326,0.3036897130647131,0.28725389194139195,0.10145566239316238,0.10315119695791203,0.31650570391495986,0.4624330222106991,0.117910076916429,0.375,0.46308170995670994,0.25,0.5369182900432901,0.13050869243870306,0.33976917906530846,0.016243224932249323,0.24689792945360287,0.375,0.4481421356421356,0.5518578643578644,0.101033345494412,0.5607543105254775,0.15143013946698994,0.4392456894745224
Salivary Gland,0.4270646604655658,0.5070444023994646,0.5729353395344343,0.4929555976005355,0.2824095518637192,0.37738837489023913,0.08902431124556323,0.2511777620004786,0.30300867513263907,0.2316257845120631,0.21801675950781274,0.12053064560193526,0.17683675245998573,0.4746485193463253,0.34851472819368906,0.37647785149486773,0.5112911243346026,0.6235221485051323,0.4887088756653974,0.31611299295600087,0.290324142246131,0.07837567980041568,0.3151871849974526,0.11061020768850124,0.16565736510939297,0.1237008233563616,0.07900616920529234,0.08872738119340305,0.1752000960342974,0.3875092243957228,0.1457343870039433,0.49094736193521343,0.5372895284222515,0.5090526380647865,0.4627104715777485,0.22262375256734995,0.3871005772219374,0.06730031530998452,0.32297535490072815,0.29797215228121915,0.31672425433728024,0.21085836748098638,0.1744452259005142,0.10443665738026633,0.28833861848971915,0.36882929186295976,0.23839543226705462,0.3695652173913043,0.5149193182230939,0.15217391304347827,0.4850806817769061,0.1898536042752406,0.21982739010432698,0.045768378457822965,0.1923941970486112,0.4782608695652174,0.5718724512202773,0.4281275487797226,0.07653240628105633,0.587843241586871,0.12629650509157705,0.4121567584131291
