Tissue,AAA(K),AAC(N),AAG(K),AAT(N),ACA(T),ACC(T),ACG(T),ACT(T),AGA(R),AGC(S),AGG(R),AGT(S),ATA(I),ATC(I),ATT(I),CAA(Q),CAC(H),CAG(Q),CAT(H),CCA(P),CCC(P),CCG(P),CCT(P),CGA(R),CGC(R),CGG(R),CGT(R),CTA(L),CTC(L),CTG(L),CTT(L),GAA(E),GAC(D),GAG(E),GAT(D),GCA(A),GCC(A),GCG(A),GCT(A),GGA(G),GGC(G),GGG(G),GGT(G),GTA(V),GTC(V),GTG(V),GTT(V),TAA(Stop),TAC(Y),TAG(Stop),TAT(Y),TCA(S),TCC(S),TCG(S),TCT(S),TGA(Stop),TGC(C),TGT(C),TTA(L),TTC(F),TTG(L),TTT(F)
Heart,0.36034790391499927,0.6016946150593144,0.6396520960850007,0.3983053849406858,0.24509463020283198,0.3958219140845475,0.12745635170924088,0.2316271040033793,0.20838835780342535,0.2639308615005814,0.2211389376951653,0.1300187089492335,0.12363040734487867,0.5554889756207971,0.32088061703432424,0.246301559694649,0.6026674819195565,0.7536984403053514,0.3973325180804437,0.2792972050530275,0.33926098571474206,0.11414548718234904,0.2672963220498816,0.103408429400123,0.18583768471188658,0.19732937571054276,0.0838972146788573,0.06689592768110708,0.20610284861509845,0.4368828526849987,0.11402201469358823,0.3903157104818777,0.5856868517564063,0.6096842895181223,0.41431314824359333,0.22944416241161195,0.3981319013789864,0.09706705814729136,0.27535687806211073,0.22581165494972907,0.36764560107455146,0.2645319628386055,0.14201078113711446,0.09906902545804558,0.26215967509217103,0.48704698389616446,0.15172431555361915,0.2831541218637993,0.5990346301842692,0.23655913978494625,0.4009653698157305,0.13191405241060375,0.2497175275458557,0.06300821326310514,0.16141063633062064,0.48028673835125446,0.553938972695603,0.4460610273043968,0.06366624780544385,0.5587837079104538,0.11243010851976361,0.4412162920895466
Kidney,0.3735458403939582,0.6105942743150968,0.6264541596060429,0.38940572568490245,0.24736226592032454,0.39610102215611076,0.1378482896833389,0.2186884222402265,0.20336006461673775,0.27038962762373947,0.22780026711396628,0.12325020455651585,0.1348332218984403,0.5749441319442806,0.2902226461572793,0.2438998044132394,0.636105108099661,0.7561001955867617,0.3638948919003393,0.26413282799969645,0.34632500542110345,0.12217056712443178,0.2673715994547686,0.10507552524902547,0.1952328307166855,0.19802919439011116,0.07050211791347474,0.06208903613939763,0.21953518426159874,0.43928624861256677,0.11235380336454279,0.3719023558638284,0.6109600699382824,0.6280976441361715,0.38903993006171794,0.21403457102726023,0.425027561703421,0.09977272305386535,0.2611651442154546,0.24138212576342122,0.36265205365715064,0.26079430735939835,0.13517151322002963,0.09632389210495097,0.2611476635694122,0.49264775668960026,0.14988068763603696,0.2592267135325132,0.6149342600497337,0.23550087873462214,0.38506573995026594,0.1234858967319825,0.25012108295875723,0.0703807922217163,0.16237239590728988,0.5052724077328646,0.6107444460673627,0.38925555393263783,0.05456139021432396,0.591422447962718,0.11217433740757034,0.40857755203728263
Liver,0.3985022846483162,0.5647092272112447,0.6014977153516847,0.4352907727887559,0.267191509190954,0.39142587031074694,0.10822131681952643,0.2331613036787734,0.23811868259362132,0.24368886893668223,0.23875442217427992,0.1388365289944529,0.15360658303454852,0.5088918567621902,0.33750156020326255,0.29509171491743064,0.5880651518832707,0.7049082850825696,0.4119348481167294,0.29138621956837885,0.32809496209414035,0.08737013099424142,0.29314868734324045,0.10933779889765674,0.16834548987369122,0.17136046862567159,0.0740831378350802,0.07150990958475478,0.20490853022049596,0.4035554070643897,0.12403307788332797,0.41446716192026106,0.5455550024306326,0.5855328380797384,0.4544449975693679,0.24761883048262343,0.3873127612810996,0.08209223287045489,0.28297617536582303,0.28189810791948766,0.31853214727668816,0.246457579932491,0.15311216487133397,0.1070199402441794,0.2503004182816961,0.4678803029915065,0.17479933848261917,0.25026123301985376,0.5822134222193841,0.23615464994775343,0.4177865777806161,0.14823105916206294,0.24389450017196662,0.05357078176038909,0.17177826097444718,0.5135841170323928,0.5422322362947959,0.45776776370520467,0.06859688381776943,0.5528555826174089,0.1273961914292629,0.4471444173825913
Lung,0.36685398957307463,0.5900866765934253,0.6331460104269253,0.4099133234065741,0.25745969468728547,0.4077460618718356,0.129037166932633,0.20575707650824634,0.21566884757598348,0.27967043677328013,0.23545771452107325,0.12743619483109073,0.13653163892790088,0.5542456971791379,0.3092226638929613,0.26354496482912165,0.6446116166410719,0.7364550351708781,0.35538838335892814,0.2642492805601794,0.3400207691560141,0.1265597630798098,0.2691701872039963,0.09055822913371989,0.1971573650085282,0.19824270340650554,0.06291514035419005,0.06305972152862817,0.22447575502823663,0.44756595587585496,0.10375061320588902,0.3702213354533914,0.5998799049060427,0.6297786645466089,0.4001200950939571,0.2241889708368782,0.4112831390014606,0.12169526630718284,0.24283262385447882,0.24939864551933233,0.3465108817288159,0.2647371630198267,0.13935330973202548,0.10415063218174554,0.2675817582477962,0.4829198097578313,0.14534779981262738,0.23035230352303523,0.6319495983114863,0.23577235772357724,0.3680504016885137,0.1375353918786161,0.23139478788241724,0.06194015219899893,0.1620230364355973,0.5338753387533876,0.6110161458993604,0.3889838541006399,0.051558223360925984,0.6216847835039115,0.10958973100046557,0.37831521649608874
Lymph Node,0.39106850962035955,0.6034450656771431,0.6089314903796404,0.39655493432285654,0.27100221977352934,0.384398535819159,0.1152272775982211,0.22937196680909128,0.2549675132592597,0.2630000906465595,0.2583949292905747,0.13520461550802934,0.15193776203993892,0.580108840815579,0.26795339714448213,0.2615534644618333,0.6256930277312901,0.7384465355381664,0.3743069722687105,0.28667310540475993,0.3358228673563322,0.10358679408686168,0.2739172331520469,0.09598396073812569,0.15705480098954916,0.1684525882148133,0.06514620750767827,0.06553731945216253,0.2282073868524824,0.4221144276655551,0.11624891112546579,0.39130927449350544,0.6062349188879083,0.6086907255064952,0.3937650811120914,0.23217411212079056,0.41195507942981313,0.08920984976293199,0.26666095868646467,0.26439108049113935,0.31384007225800503,0.2708183910250887,0.15095045622576864,0.09105746336229298,0.2694625347755869,0.47829175840314786,0.16118824345897287,0.24621212121212246,0.5907243836234204,0.24053030303030426,0.40927561637657933,0.14398671505060956,0.23542264584417766,0.05409694861844187,0.16828898433218306,0.5132575757575732,0.560490008937757,0.4395099910622426,0.05960852344266331,0.6223629592243763,0.10828343146167149,0.37763704077562343
Ovary,0.36958491476432037,0.5885027570632737,0.63041508523568,0.41149724293672635,0.24612137451959396,0.3946988709119609,0.12687610968697732,0.23230364488146815,0.20142393369036896,0.2738978249437771,0.21770641252026204,0.13017624865196006,0.15090380537672732,0.5367162392519211,0.31237995537135177,0.2512345849737102,0.6420686674924819,0.7487654150262896,0.3579313325075177,0.2609077204572248,0.34551682944364764,0.13794410919069666,0.2556313409084308,0.10567298735321853,0.20679728057090535,0.19916084120490596,0.06923854466033949,0.06542442338392832,0.21342858110634091,0.41690414234316264,0.11804770574549311,0.38254714413667906,0.593250084990921,0.6174528558633205,0.4067499150090787,0.2190053836288362,0.41685926139463025,0.11880344158408428,0.24533191339244953,0.2451705344839927,0.3647994274655262,0.2483355326297642,0.1416945054207172,0.1030104912854619,0.27627300069940125,0.4684811376439681,0.15223537037116902,0.31675392670157065,0.6121559301948124,0.256544502617801,0.38784406980518765,0.13475089104112947,0.23541274864082412,0.06590923386733102,0.15985305285497872,0.42670157068062836,0.5822135935599552,0.41778640644004533,0.06080700005072595,0.5756477090105413,0.12538814737034898,0.42435229098945904
Pancreas,0.3135656008005414,0.6441012861986541,0.6864343991994591,0.35589871380134597,0.2221126225339731,0.42937108335222873,0.14473018772589613,0.20378610638790193,0.18337880709697577,0.2782885036734855,0.20833738247125344,0.11898282418236593,0.11505885467646644,0.6021410559777851,0.2828000893457479,0.2371140911678663,0.6522694299936338,0.7628859088321333,0.34773057000636665,0.24532264001374549,0.37139270581689443,0.1057743720568693,0.2775102821124905,0.08779245277025308,0.238326753815406,0.2001782434389247,0.08198636040718676,0.050872713776655115,0.22388025470827488,0.475433714821794,0.1100883692221192,0.32014229913151626,0.6763786199428783,0.679857700868484,0.32362138005712116,0.1913257243182528,0.44832432252548565,0.11001468711000756,0.25033526604625383,0.20636829605925927,0.39048466481157484,0.26325031739795834,0.13989672173120743,0.07860532346863063,0.26046329579184296,0.5225639579987221,0.1383674227408042,0.2846153846153846,0.6633734683282196,0.24615384615384617,0.33662653167178064,0.09210476315277429,0.29372374642071425,0.056418803639321065,0.1604813589313387,0.46923076923076923,0.6240715449391236,0.3759284550608763,0.03747281770450838,0.6495660132639818,0.10225212976664846,0.35043398673601833
Placenta,0.36463785567528645,0.6016959585039284,0.6353621443247127,0.3983040414960719,0.24299525028150318,0.41353986738602183,0.12847995183216554,0.21498493050031056,0.20451142075460496,0.260207449374895,0.2240112220412279,0.12407322714242021,0.14441316613386374,0.5628183311017068,0.29276850276443006,0.25853909639116446,0.6510623624305331,0.7414609036088351,0.34893763756946733,0.2688967632098759,0.3522017754453618,0.121428446734461,0.25747301461030225,0.09782794425368527,0.20299167737389454,0.19236950223386856,0.07828823334272006,0.06383213388880603,0.21752334183204297,0.4336528867608612,0.11571578456792242,0.3925701027371512,0.6073600278954573,0.6074298972628489,0.39263997210454293,0.2240042691951596,0.4069131155370563,0.11492938864660103,0.2541532266211844,0.2365673558543236,0.3575318636982163,0.2508485702554718,0.15505221019198934,0.09437928340647962,0.27753190749934986,0.4781775073141175,0.14991130178005338,0.27372604020570357,0.6062378460189282,0.25759700794763907,0.393762153981072,0.13392204454109763,0.2470733361390061,0.06730776613117326,0.16741617667140926,0.46867695184665736,0.5877409561839041,0.4122590438160959,0.06107446270749618,0.6119424726995494,0.10820139024287201,0.38805752730045046
Prostate gland,0.3672535631500951,0.5803880850595955,0.6327464368499042,0.41961191494040445,0.25093902649766237,0.3869588424533269,0.14520399601591183,0.21689813503309924,0.20540740047124625,0.26129510161569286,0.22857399319856705,0.1283505725808678,0.1438996327141273,0.5604717865884754,0.29562858069739767,0.2563041569873525,0.6518710197297017,0.7436958430126471,0.34812898027029854,0.2577870440498717,0.33655962076571105,0.141039546269752,0.26461378891466536,0.0967640836333546,0.20335636387518966,0.19811839551270446,0.06777976330893835,0.06589613814104218,0.2199227980130302,0.425928530554896,0.10776134748089716,0.3606762678389201,0.6230441134211053,0.6393237321610803,0.3769558865788944,0.21348054236323896,0.4199488003927,0.12438478051539262,0.24218587672866906,0.24397196944779118,0.3637349687589605,0.24212389749635665,0.1501691642968925,0.09867140722699098,0.26930283782006675,0.4766225013496389,0.15540325360330345,0.2860892388451443,0.6205064032722131,0.1889763779527559,0.37949359672778704,0.1396917734585654,0.24267444217188397,0.06701647918327187,0.1609716309897183,0.5249343832020998,0.6161604462883195,0.3838395537116803,0.06396468360925535,0.6198900982712019,0.1165265022008789,0.38010990172879777
Rectum,0.40237736145497577,0.6055115678266644,0.5976226385450241,0.39448843217333596,0.2661504480602526,0.37891633249851886,0.1053491086018489,0.24958411083937976,0.24185188338844596,0.2383737835105997,0.2565641187926846,0.13420809997528282,0.15425962718997283,0.5384608305452554,0.3072795422647716,0.301305664839184,0.6221895078306747,0.6986943351608161,0.377810492169325,0.28598901866131954,0.32044137443607923,0.09793742988046311,0.295632177022138,0.09693710491724597,0.16958662698726953,0.15651568492415238,0.07854458099020184,0.07835838447454002,0.22530596548761947,0.3943375481684217,0.11903438707820876,0.4258348027278658,0.5774414983543233,0.5741651972721346,0.4225585016456764,0.22541378759366612,0.41181212516865445,0.087136464219648,0.2756376230180312,0.27461793660504236,0.3254010933560037,0.24166166166531022,0.15831930837364475,0.10390603192527183,0.2637196858023951,0.44703352491974135,0.18534075735259228,0.29792429792429787,0.5847258647370792,0.21001221001221004,0.4152741352629206,0.13574004146951477,0.25650898885031215,0.04984543338706537,0.18532365280722546,0.492063492063492,0.5735653259040333,0.42643467409596664,0.05768915770340453,0.5788745729252692,0.12527455708780547,0.42112542707473066
