Gene ID,Tissue
ENSG00000021776,Thyroid Gland
ENSG00000021826,Liver
ENSG00000021852,Liver
ENSG00000022267,Skeletal Muscle
ENSG00000022277,Fallopian Tube
ENSG00000022355,Cerebral Cortex
ENSG00000022556,Urinary Bladder
ENSG00000022567,Testis
ENSG00000022840,Testis
ENSG00000022976,Testis
ENSG00000023041,Small Intestine
ENSG00000023171,Adrenal Gland
ENSG00000023191,Lung
ENSG00000023228,Heart
ENSG00000023287,Testis
ENSG00000023318,Thyroid Gland
ENSG00000023330,Adrenal Gland
ENSG00000023445,Lymph Node
ENSG00000023516,Cerebral Cortex
ENSG00000023572,Testis
ENSG00000023608,Testis
ENSG00000023697,Small Intestine
ENSG00000023734,Thyroid Gland
ENSG00000023839,Liver
ENSG00000023892,Lymph Node
ENSG00000023902,Appendix
ENSG00000023909,Thyroid Gland
ENSG00000024048,Thyroid Gland
ENSG00000024422,Adipose
ENSG00000024526,Testis
ENSG00000024862,Thyroid Gland
ENSG00000025039,Thyroid Gland
ENSG00000025156,Testis
ENSG00000025293,Endometrium
ENSG00000025293,Testis
ENSG00000025423,Liver
ENSG00000025434,Spleen
ENSG00000025708,Appendix
ENSG00000025770,Bone Marrow
ENSG00000025772,Testis
ENSG00000025796,Thyroid Gland
ENSG00000025800,Smooth Muscle
ENSG00000026025,Ovary
ENSG00000026103,Appendix
ENSG00000026297,Spleen
ENSG00000026508,Skin
ENSG00000026559,Endometrium
ENSG00000026559,Placenta
ENSG00000026652,Cerebral Cortex
ENSG00000026751,Tonsil
ENSG00000026950,Spleen
ENSG00000027001,Fallopian Tube
ENSG00000027075,Lymph Node
ENSG00000027644,Testis
ENSG00000027697,Spleen
ENSG00000027847,Spleen
ENSG00000027869,Appendix
ENSG00000028116,Thyroid Gland
ENSG00000028137,Appendix
ENSG00000028203,Thyroid Gland
ENSG00000028277,Lymph Node
ENSG00000028310,Lymph Node
ENSG00000028310,Testis
ENSG00000028528,Thyroid Gland
ENSG00000028839,Testis
ENSG00000029153,Esophagus
ENSG00000029363,Bone Marrow
ENSG00000029364,Thyroid Gland
ENSG00000029534,Bone Marrow
ENSG00000029534,Skeletal Muscle
ENSG00000029559,Appendix
ENSG00000029639,Testis
ENSG00000029725,Cerebral Cortex
ENSG00000029993,Placenta
ENSG00000030066,Endometrium
ENSG00000030066,Lymph Node
ENSG00000030110,Duodenum
ENSG00000030304,Rectum
ENSG00000030419,Esophagus
ENSG00000030582,Lung
ENSG00000031003,Testis
ENSG00000031081,Lung
ENSG00000031691,Lymph Node
ENSG00000031691,Tonsil
ENSG00000031698,Thyroid Gland
ENSG00000031823,Testis
ENSG00000032219,Bone Marrow
ENSG00000032389,Thyroid Gland
ENSG00000032444,Lung
ENSG00000032742,Testis
ENSG00000033011,Fallopian Tube
ENSG00000033011,Testis
ENSG00000033011,Thyroid Gland
ENSG00000033030,Bone Marrow
ENSG00000033050,Smooth Muscle
ENSG00000033100,Spleen
ENSG00000033170,Stomach
ENSG00000033178,Lymph Node
ENSG00000033327,Smooth Muscle
ENSG00000033627,Cerebral Cortex
ENSG00000033800,Ovary
ENSG00000033867,Duodenum
ENSG00000034053,Cerebral Cortex
ENSG00000034152,Bone Marrow
ENSG00000034239,Fallopian Tube
ENSG00000034510,Spleen
ENSG00000034533,Thyroid Gland
ENSG00000034677,Testis
ENSG00000034693,Adrenal Gland
ENSG00000034713,Cerebral Cortex
ENSG00000034971,Esophagus
ENSG00000035115,Kidney
ENSG00000035141,Thyroid Gland
ENSG00000035403,Smooth Muscle
ENSG00000035499,Gall Bladder
ENSG00000035664,Thyroid Gland
ENSG00000035681,Lymph Node
ENSG00000035687,Testis
ENSG00000035720,Lymph Node
ENSG00000035862,Ovary
ENSG00000035928,Thyroid Gland
ENSG00000036054,Endometrium
ENSG00000036054,Placenta
ENSG00000036257,Testis
ENSG00000036448,Heart
ENSG00000036473,Liver
ENSG00000036530,Cerebral Cortex
ENSG00000036549,Thyroid Gland
ENSG00000036565,Adrenal Gland
ENSG00000036672,Testis
ENSG00000036828,Kidney
ENSG00000037042,Cerebral Cortex
ENSG00000037241,Testis
ENSG00000037280,Spleen
ENSG00000037474,Lymph Node
ENSG00000037637,Skin
ENSG00000037749,Placenta
ENSG00000037757,Skin
ENSG00000037897,Thyroid Gland
ENSG00000037965,Adipose
ENSG00000037965,Adrenal Gland
ENSG00000038002,Skin
ENSG00000038210,Duodenum
ENSG00000038219,Ovary
ENSG00000038274,Lymph Node
ENSG00000038295,Placenta
ENSG00000038358,Testis
ENSG00000038382,Cerebral Cortex
ENSG00000038427,Appendix
ENSG00000038532,Testis
ENSG00000038945,Lung
ENSG00000039068,Thyroid Gland
ENSG00000039123,Testis
ENSG00000039139,Fallopian Tube
ENSG00000039319,Endometrium
ENSG00000039523,Spleen
ENSG00000039537,Liver
ENSG00000039560,Smooth Muscle
ENSG00000039600,Testis
ENSG00000039650,Spleen
ENSG00000039987,Rectum
ENSG00000040199,Small Intestine
ENSG00000040275,Testis
ENSG00000040341,Cerebral Cortex
ENSG00000040487,Testis
ENSG00000040531,Testis
ENSG00000040608,Cerebral Cortex
ENSG00000040633,Thyroid Gland
ENSG00000040633,Tonsil
ENSG00000040731,Cerebral Cortex
ENSG00000040933,Cerebral Cortex
ENSG00000041353,Stomach
ENSG00000041357,Appendix
ENSG00000041515,Cerebral Cortex
ENSG00000041802,Endometrium
ENSG00000041802,Thyroid Gland
ENSG00000041802,Appendix
ENSG00000041880,Thyroid Gland
ENSG00000041982,Appendix
ENSG00000041988,Ovary
ENSG00000042062,Endometrium
ENSG00000042088,Testis
ENSG00000042286,Adipose
ENSG00000042304,Placenta
ENSG00000042317,Testis
ENSG00000042429,Ovary
ENSG00000042445,Adipose
ENSG00000042493,Lung
ENSG00000042753,Placenta
ENSG00000042781,Liver
ENSG00000042813,Testis
ENSG00000042832,Thyroid Gland
ENSG00000042980,Stomach
ENSG00000043039,Esophagus
ENSG00000043093,Testis
ENSG00000043143,Lymph Node
ENSG00000043143,Ovary
ENSG00000043143,Spleen
ENSG00000043355,Cerebral Cortex
ENSG00000043462,Bone Marrow
ENSG00000043514,Endometrium
ENSG00000043591,Placenta
ENSG00000044012,Small Intestine
ENSG00000044090,Fallopian Tube
ENSG00000044115,Thyroid Gland
ENSG00000044446,Ovary
ENSG00000044459,Endometrium
ENSG00000044524,Prostate gland
ENSG00000044574,Thyroid Gland
ENSG00000046604,Colon
ENSG00000046604,Rectum
ENSG00000046647,Ovary
ENSG00000046651,Lymph Node
ENSG00000046653,Cerebral Cortex
ENSG00000046774,Testis
ENSG00000046889,Adipose
ENSG00000046889,Cerebral Cortex
ENSG00000046889,Fallopian Tube
ENSG00000047056,Cerebral Cortex
ENSG00000047188,Testis
ENSG00000047230,Endometrium
ENSG00000047230,Ovary
ENSG00000047249,Cerebral Cortex
ENSG00000047315,Lymph Node
ENSG00000047346,Thyroid Gland
ENSG00000047365,Thyroid Gland
ENSG00000047410,Testis
ENSG00000047457,Liver
ENSG00000047578,Fallopian Tube
ENSG00000047579,Lymph Node
ENSG00000047597,Colon
ENSG00000047617,Testis
ENSG00000047621,Cerebral Cortex
ENSG00000047634,Testis
ENSG00000047644,Lung
ENSG00000047648,Prostate gland
ENSG00000047662,Cerebral Cortex
ENSG00000047849,Heart
ENSG00000047932,Thyroid Gland
ENSG00000047936,Lung
ENSG00000048028,Heart
ENSG00000048052,Lymph Node
ENSG00000048052,Spleen
ENSG00000048052,Tonsil
ENSG00000048140,Bone Marrow
ENSG00000048162,Appendix
ENSG00000048342,Fallopian Tube
ENSG00000048392,Thyroid Gland
ENSG00000048405,Bone Marrow
ENSG00000048462,Tonsil
ENSG00000048471,Tonsil
ENSG00000048540,Cerebral Cortex
ENSG00000048544,Esophagus
ENSG00000048545,Testis
ENSG00000048649,Ovary
ENSG00000048649,Thyroid Gland
ENSG00000048707,Skin
ENSG00000048740,Cerebral Cortex
ENSG00000048828,Thyroid Gland
ENSG00000048991,Cerebral Cortex
ENSG00000049089,Prostate gland
ENSG00000049130,Lung
ENSG00000049167,Testis
ENSG00000049167,Thyroid Gland
ENSG00000049192,Gall Bladder
ENSG00000049239,Ovary
ENSG00000049245,Lung
ENSG00000049246,Thyroid Gland
ENSG00000049247,Adrenal Gland
ENSG00000049249,Lymph Node
ENSG00000049283,Stomach
ENSG00000049323,Smooth Muscle
ENSG00000049449,Placenta
ENSG00000049540,Lung
ENSG00000049541,Tonsil
ENSG00000049618,Thyroid Gland
ENSG00000049656,Thyroid Gland
ENSG00000049759,Lung
ENSG00000049768,Appendix
ENSG00000049769,Cerebral Cortex
ENSG00000049860,Placenta
ENSG00000049883,Thyroid Gland
ENSG00000050030,Cerebral Cortex
ENSG00000050130,Fallopian Tube
ENSG00000050165,Heart
ENSG00000050327,Thyroid Gland
ENSG00000050344,Placenta
ENSG00000050393,Thyroid Gland
ENSG00000050405,Rectum
ENSG00000050426,Thyroid Gland
ENSG00000050438,Testis
ENSG00000050555,Placenta
ENSG00000050628,Endometrium
ENSG00000050730,Appendix
ENSG00000050748,Cerebral Cortex
ENSG00000050767,Thyroid Gland
ENSG00000050820,Spleen
ENSG00000051009,Testis
ENSG00000051108,Thyroid Gland
ENSG00000051128,Spleen
ENSG00000051180,Testis
ENSG00000051341,Bone Marrow
ENSG00000051382,Thyroid Gland
ENSG00000051523,Spleen
ENSG00000051596,Tonsil
ENSG00000051620,Adipose
ENSG00000051825,Bone Marrow
ENSG00000052126,Endometrium
ENSG00000052344,Small Intestine
ENSG00000052723,Lymph Node
ENSG00000052749,Bone Marrow
ENSG00000052795,Kidney
ENSG00000052802,Liver
ENSG00000052841,Endometrium
ENSG00000052841,Thyroid Gland
ENSG00000052850,Endometrium
ENSG00000052850,Testis
ENSG00000053108,Cerebral Cortex
ENSG00000053254,Ovary
ENSG00000053328,Smooth Muscle
ENSG00000053371,Duodenum
ENSG00000053372,Tonsil
ENSG00000053438,Placenta
ENSG00000053501,Spleen
ENSG00000053524,Cerebral Cortex
ENSG00000053702,Endometrium
ENSG00000053747,Lung
ENSG00000053770,Thyroid Gland
ENSG00000053900,Endometrium
ENSG00000053918,Thyroid Gland
ENSG00000054116,Thyroid Gland
ENSG00000054118,Lymph Node
ENSG00000054148,Prostate gland
ENSG00000054179,Prostate gland
ENSG00000054219,Lymph Node
ENSG00000054267,Lymph Node
ENSG00000054277,Placenta
ENSG00000054282,Thyroid Gland
ENSG00000054356,Cerebral Cortex
ENSG00000054392,Thyroid Gland
ENSG00000054523,Cerebral Cortex
ENSG00000054598,Salivary Gland
ENSG00000054611,Spleen
ENSG00000054654,Thyroid Gland
ENSG00000054654,Skin
ENSG00000054690,Thyroid Gland
ENSG00000054793,Cerebral Cortex
ENSG00000054796,Testis
ENSG00000054803,Adrenal Gland
ENSG00000054938,Appendix
ENSG00000054965,Cerebral Cortex
ENSG00000054967,Bone Marrow
ENSG00000054983,Thyroid Gland
ENSG00000055044,Lymph Node
ENSG00000055070,Smooth Muscle
ENSG00000055118,Bone Marrow
ENSG00000055130,Testis
ENSG00000055147,Testis
ENSG00000055163,Cerebral Cortex
ENSG00000055208,Thyroid Gland
ENSG00000055211,Thyroid Gland
ENSG00000055332,Thyroid Gland
ENSG00000055483,Bone Marrow
ENSG00000055609,Ovary
ENSG00000055609,Thyroid Gland
ENSG00000055732,Adrenal Gland
ENSG00000055813,Adipose
ENSG00000055813,Cerebral Cortex
ENSG00000055917,Thyroid Gland
ENSG00000055950,Testis
ENSG00000055955,Liver
ENSG00000055957,Liver
ENSG00000056050,Endometrium
ENSG00000056097,Cerebral Cortex
ENSG00000056277,Testis
ENSG00000056291,Placenta
ENSG00000056487,Testis
ENSG00000056558,Lymph Node
ENSG00000056586,Lymph Node
ENSG00000056736,Kidney
ENSG00000056972,Fallopian Tube
ENSG00000056998,Adipose
ENSG00000057019,Testis
ENSG00000057149,Esophagus
ENSG00000057252,Adrenal Gland
ENSG00000057294,Fallopian Tube
ENSG00000057468,Testis
ENSG00000057593,Liver
ENSG00000057608,Tonsil
ENSG00000057657,Esophagus
ENSG00000057663,Thyroid Gland
ENSG00000057704,Thyroid Gland
ENSG00000057757,Cerebral Cortex
ENSG00000057935,Ovary
ENSG00000058056,Skeletal Muscle
ENSG00000058063,Esophagus
ENSG00000058085,Fallopian Tube
ENSG00000058091,Cerebral Cortex
ENSG00000058262,Thyroid Gland
ENSG00000058272,Endometrium
ENSG00000058335,Cerebral Cortex
ENSG00000058404,Cerebral Cortex
ENSG00000058453,Fallopian Tube
ENSG00000058600,Thyroid Gland
ENSG00000058668,Smooth Muscle
ENSG00000058673,Endometrium
ENSG00000058729,Ovary
ENSG00000058729,Thyroid Gland
ENSG00000058799,Thyroid Gland
ENSG00000058804,Lymph Node
ENSG00000058866,Cerebral Cortex
ENSG00000059122,Spleen
ENSG00000059145,Ovary
ENSG00000059377,Spleen
ENSG00000059378,Lymph Node
ENSG00000059378,Spleen
ENSG00000059573,Duodenum
ENSG00000059588,Lymph Node
ENSG00000059691,Cerebral Cortex
ENSG00000059691,Heart
ENSG00000059728,Esophagus
ENSG00000059758,Cerebral Cortex
ENSG00000059769,Liver
ENSG00000059804,Bone Marrow
ENSG00000059915,Cerebral Cortex
ENSG00000060069,Testis
ENSG00000060138,Skeletal Muscle
ENSG00000060140,Rectum
ENSG00000060237,Testis
ENSG00000060339,Lymph Node
ENSG00000060491,Spleen
ENSG00000060558,Esophagus
ENSG00000060566,Small Intestine
ENSG00000060642,Testis
ENSG00000060656,Placenta
ENSG00000060688,Tonsil
ENSG00000060709,Cerebral Cortex
ENSG00000060718,Placenta
ENSG00000060749,Ovary
ENSG00000060762,Heart
ENSG00000060971,Liver
ENSG00000060982,Placenta
ENSG00000061273,Spleen
ENSG00000061337,Testis
ENSG00000061455,Gall Bladder
ENSG00000061492,Testis
ENSG00000061656,Testis
ENSG00000061676,Thyroid Gland
ENSG00000061794,Thyroid Gland
ENSG00000061918,Cerebral Cortex
ENSG00000061936,Lymph Node
ENSG00000061938,Bone Marrow
ENSG00000061987,Thyroid Gland
ENSG00000062038,Skin
ENSG00000062096,Skin
ENSG00000062194,Testis
ENSG00000062282,Adipose
ENSG00000062370,Endometrium
ENSG00000062370,Thyroid Gland
ENSG00000062485,Adipose
ENSG00000062524,Placenta
ENSG00000062582,Skeletal Muscle
ENSG00000062598,Cerebral Cortex
