AAA(K),AAC(N),AAG(K),AAT(N),ACA(T),ACC(T),ACG(T),ACT(T),AGA(R),AGC(S),AGG(R),AGT(S),ATA(I),ATC(I),ATT(I),CAA(Q),CAC(H),CAG(Q),CAT(H),CCA(P),CCC(P),CCG(P),CCT(P),CGA(R),CGC(R),CGG(R),CGT(R),CTA(L),CTC(L),CTG(L),CTT(L),GAA(E),GAC(D),GAG(E),GAT(D),GCA(A),GCC(A),GCG(A),GCT(A),GGA(G),GGC(G),GGG(G),GGT(G),GTA(V),GTC(V),GTG(V),GTT(V),TAC(Y),TAT(Y),TCA(S),TCC(S),TCG(S),TCT(S),TGC(C),TGT(C),TTA(L),TTC(F),TTG(L),TTT(F)
0.5415098738939947,0.9434464934076489,0.45849012610600526,0.056553506592351144,0.33635676099789913,0.4419582048981614,0.11368884298939799,0.10799619111454148,0.16232250294855907,0.025780006269857436,0.3989698339648569,0.05055296683693159,0.18469923380021208,0.7069475692034816,0.10835319699630636,0.2686330552778049,0.32442706291253487,0.7313669447221951,0.6755729370874651,0.008740823228885723,0.06702315917904134,0.39894790975173344,0.5252881078403395,0.04584337272484157,0.21991526505755202,0.008019718349275728,0.16492930695491473,0.07420982406108613,0.3421212567629528,0.1623098675932861,0.10084427501813545,0.4575535302440409,0.8861910607831868,0.5424464697559591,0.11380893921681323,0.5470456729745798,0.010193092995150421,0.12575622153952792,0.3170050124907418,0.8036976247905757,0.02326137034170725,0.034682678538498934,0.1383583263292181,0.034454874561608125,0.020236713340728622,0.9010195012943926,0.04428891080327069,0.20138182532141424,0.7986181746785858,0.4123363754411842,0.09290282508930993,0.024962678793624127,0.3934651475690928,0.7038297296550476,0.29617027034495236,0.07200094837703958,0.07517829070919713,0.24851382818749992,0.9248217092908029
0.9387384868652846,0.8480806980223161,0.061261513134715395,0.15191930197768388,0.019794975318676248,0.4083007421039517,0.05560521924216655,0.5162990633352055,0.0496097330689569,0.02333746091918243,0.16206247819634942,0.12177385529550462,0.6215279161238607,0.020444754802009198,0.3580273290741301,0.8157571656428122,0.8992459964421693,0.1842428343571878,0.1007540035578307,0.028278810061014438,0.42936324523016717,0.12817908400766742,0.41417886070115095,0.002133790537244884,0.05329182899013775,0.4215590729378571,0.31134309626945395,0.11399575659514638,0.1153330306784334,0.0979370995720608,0.14465158380363022,0.9427565958434643,0.028965546424014277,0.05724340415653573,0.9710344535759857,0.0269694114100395,0.3652699009417879,0.20243463012345572,0.40532605752471684,0.5149302602305805,0.42784904197558443,0.02727853121124418,0.029942166582590968,0.04304397936743309,0.07040515490587812,0.5663562696023796,0.32019459612430917,0.3816380463406488,0.6183619536593512,0.31140285798661815,0.31650020957535074,0.19112285158027162,0.035862764643072406,0.11191457398170956,0.8880854260182904,0.30070477135281015,0.9719095902117098,0.22737775799791912,0.02809040978829025
0.8856696566306225,0.11652722012242,0.11433034336937753,0.88347277987758,0.045139521773534926,0.20939158281447168,0.05363780043660698,0.6918310949753864,0.08198919159178863,0.2937472193134323,0.2469193485710553,0.11856873843938098,0.5954793176633046,0.37241374624232515,0.03210693609437022,0.429534473627729,0.13589677000019662,0.570465526372271,0.8641032299998034,0.14506047172891368,0.20928545447556746,0.619703687309674,0.025950386485844877,0.07683373883193334,0.09167178143561623,0.10603396227261819,0.3965519772969884,0.09973276358875684,0.18982689842133496,0.3789008338642126,0.05692893803232641,0.38328665184259314,0.7373511702023786,0.6167133481574069,0.2626488297976214,0.10331863991884903,0.06440804229040366,0.004081881155682532,0.8281914366350648,0.2918536511812544,0.21175765811646263,0.02469867282927353,0.47169001787300946,0.017488483919973104,0.021174159142297807,0.16918214345277688,0.7921552134849522,0.08957730335682823,0.9104226966431718,0.01232524614485331,0.3782265294855143,0.14292756154886566,0.05420470506795345,0.023897043092003578,0.9761029569079964,0.15288460354564143,0.09924347681336787,0.12172596254772777,0.9007565231866321
0.07375003643753841,0.12643043849954771,0.9262499635624616,0.8735695615004523,0.1142414087981245,0.30133964537059355,0.5574840093344565,0.026934936496825435,0.19949483308444232,0.5677195667913326,0.08790922485492547,0.048218236909530546,0.0040931792472221895,0.09803370866017047,0.8978731120926073,0.12731373348986963,0.6803359964836678,0.8726862665101304,0.3196640035163322,0.6208177137192286,0.1334529172300436,0.15878482054631435,0.08694454850441347,0.06601878628192767,0.1706887201675174,0.2974760504590941,0.17841238515209304,0.007775138651336229,0.03646705984266253,0.007608803507351269,0.023708613633983938,0.7763485455665333,0.7303482456472546,0.22365145443346668,0.26965175435274535,0.6138618390070207,0.07427512776918774,0.09701158386758435,0.21485144935620715,0.009532569100523691,0.056152540235968496,0.127613551064132,0.8067013395993758,0.009807092038780742,0.3915478035541772,0.4655724809029479,0.1330726235040942,0.8777514053736859,0.1222485946263141,0.07994188277991095,0.1629181161751702,0.10466711185260347,0.036535085491452235,0.9667368509970802,0.03326314900291982,0.2882501459879734,0.7890851418905149,0.6361902383766926,0.21091485810948507
0.9029042572547682,0.8593676547678747,0.0970957427452318,0.1406323452321253,0.4043188707125964,0.14647151232786546,0.4115256866256979,0.03768393033384023,0.03025212930301833,0.1803268967135435,0.295783563886075,0.01480201485955665,0.6665699695970035,0.29747037550657474,0.03595965489642172,0.8103288389184833,0.756398563490945,0.18967116108151671,0.24360143650905497,0.3932364558005453,0.031199521862725878,0.38758502786484667,0.18797899447188215,0.08298796359403025,0.038102965809189794,0.07808690988583909,0.4747864675218475,0.25312981107973603,0.006644590524543539,0.12753686738470205,0.0670978806081131,0.9839562006218446,0.9504361850063439,0.016043799378155366,0.04956381499365614,0.38760441624834474,0.3571020856339305,0.1717681405001259,0.08352535761759883,0.08029057128754824,0.11865397963552561,0.5869301820417134,0.21412526703521273,0.0054897510240825564,0.6742251199698847,0.17481847609694876,0.145466652909084,0.9140709304750595,0.0859290695249405,0.46468332665660017,0.14898421040735133,0.16309685002317073,0.028106701339777614,0.002363149041283541,0.9976368509587165,0.04658942237016578,0.20989615453566046,0.4990014280327395,0.7901038454643395
0.019291379789731056,0.1171692616342126,0.9807086202102689,0.8828307383657874,0.1760335388208012,0.022298972714201226,0.07478400608837232,0.7268834823766253,0.03113969245800911,0.49857586256699665,0.3355247604873613,0.03581267642964541,0.7965085813044439,0.044305389041606746,0.15918602965394935,0.0606349216451606,0.6445955162033605,0.9393650783548394,0.35540448379663947,0.09610977031504941,0.03184456738837576,0.8182275426277373,0.05381811966883749,0.14416457151072903,0.23447719870064948,0.06395348854481121,0.19074028829843992,0.08034924210878719,0.31990479622836565,0.1343767486751647,0.02203105843772226,0.2612250513413257,0.15457643876077254,0.7387749486586743,0.8454235612392275,0.6357204721522267,0.09656352200578594,0.08945339045527956,0.1782626153867078,0.43154952115094686,0.01423284764707385,0.024430020754718784,0.5297876104472605,0.4476770395479065,0.27085778789432713,0.156371695675941,0.12509347688182537,0.04188726684179234,0.9581127331582077,0.025978598908223537,0.008966753071870677,0.08686504225359937,0.3438010667696643,0.9889669135435804,0.01103308645641965,0.012113757320534633,0.05172347744512873,0.43122439722942557,0.9482765225548713
0.9972868847752314,0.5762984441099467,0.002713115224768581,0.4237015558900533,0.021420958502447976,0.03711223778679551,0.3154064321737827,0.6260603715369738,0.4356779309663502,0.003759204932955399,0.01019478003800284,0.40669843885959667,0.5096897567778604,0.13484763255144178,0.3554626106706978,0.23468635969393448,0.9727332528013455,0.7653136403060655,0.027266747198654517,0.2524123658444202,0.6664243255855329,0.037392303785360945,0.04377100478468598,0.26703418663470707,0.0508647714719874,0.21068833200060935,0.0255399988883431,0.23776723515482678,0.4090032173765644,0.12281005504903997,0.047846694018518245,0.09031793820043876,0.9647233435337467,0.9096820617995612,0.03527665646625333,0.23809517354629695,0.34160820063230957,0.08507559883122436,0.3352210269901691,0.18911718000531422,0.011873425723200826,0.7964992050653282,0.0025101892061567543,0.2153416071012887,0.45887873092878734,0.22963363335834586,0.09614602861157812,0.4829872963104894,0.5170127036895106,0.4522401086213643,0.08951135580840992,0.01958672895922278,0.02820416281845091,0.8836917036658357,0.11630829633416429,0.15618146456143647,0.03876750552820685,0.026391333839614093,0.9612324944717932
0.13068425254561034,0.14194385615453908,0.8693157474543897,0.8580561438454609,0.13028758594680695,0.6807994375326494,0.09045547380502805,0.09845750271551568,0.184845821413277,0.016626423121698243,0.2034879643419467,0.12430739184385509,0.05302614022457103,0.22667013355305354,0.7203037262223755,0.8565945242146106,0.2060719847523117,0.14340547578538942,0.7939280152476883,0.05748007836656661,0.023501539004597442,0.20242043211677763,0.7165979505120583,0.0003153646225328016,0.07025374458484068,0.0693844592783832,0.4717126457590196,0.03999877262350815,0.17472064303118884,0.1267539847946762,0.3702276802888484,0.11817313168473154,0.15378117153120052,0.8818268683152685,0.8462188284687995,0.2246445031999196,0.5411377524775864,0.04636888187621069,0.1878488624462833,0.11351879474955046,0.04557174309867951,0.1344143639227919,0.7064950982289782,0.014847821615455864,0.8159669088792296,0.059316293242662806,0.10986897626265171,0.9171501598833584,0.08284984011664165,0.11824300310834542,0.05386939320620083,0.09511700835892221,0.5918367803609782,0.762655253637066,0.237344746362934,0.03771397510339234,0.01642927841969699,0.25058494415838606,0.983570721580303
0.891516782900226,0.43042744503429176,0.10848321709977404,0.5695725549657082,0.011353417122422105,0.0186312186178496,0.8027319838625567,0.16728338039717167,0.1940751776994216,0.16668531555885224,0.08071595992281122,0.06855591340188244,0.15451978100448532,0.26106088599746974,0.5844193329980449,0.01965519954429784,0.06925171209237291,0.9803448004557022,0.9307482879076271,0.625581271966209,0.2605290889236446,0.06398380706685455,0.04990583204329169,0.26467560644705435,0.08053116605477859,0.18509940614032117,0.19490268373561304,0.39848828515269186,0.019663090158007865,0.15712328394994615,0.20784747496042782,0.7645512349344081,0.3036632739166446,0.23544876506559187,0.6963367260833554,0.10491771926994956,0.12763312795930948,0.6559165407374058,0.1115326120333352,0.009085832713074504,0.10578048259706695,0.734455612023544,0.15067807266631447,0.04199951129359775,0.06984200992683966,0.8638648903449384,0.024293588434624258,0.4546051786412858,0.5453948213587142,0.4648664490316921,0.14365787270538,0.1256969210176005,0.03053752828459283,0.3577924704608122,0.6422075295391878,0.09849250402133253,0.9342220907801383,0.11838536175759382,0.06577790921986171
0.6765920467412203,0.9605555524988693,0.3234079532587797,0.03944444750113074,0.5352389780916533,0.25953516527086884,0.20008412617286553,0.0051417304646122685,0.060458479440934854,0.13610603740334448,0.03771950681953557,0.06774535651471805,0.10988243156691417,0.06731996777664673,0.8227976006564391,0.9354333795218717,0.03641180508253572,0.06456662047812833,0.9635881949174643,0.5470038187065062,0.42623980933151434,0.022991545291503934,0.003764826670475569,0.004604711592788169,0.0037852259994054552,0.08479502228710774,0.8086370538602282,0.03965511870832422,0.16304901817604125,0.03522210246534208,0.4233022666683089,0.2694410236038244,0.9027976987451803,0.7305589763961756,0.09720230125481966,0.12423720595466732,0.01563509291603893,0.8329874002064678,0.027140300922825975,0.13471422662148513,0.15391962394869405,0.6867918778591058,0.02457427157071501,0.1430343185634606,0.4862411709759969,0.166439546899265,0.2042849635612775,0.021803595149128663,0.9781964048508713,0.046020226193347724,0.032377520714135875,0.38705743036009027,0.3306934288143636,0.1577440752289173,0.8422559247710827,0.26537276966850476,0.31550647013509303,0.07339872431347884,0.684493529864907
